prov|kabupaten|ppat|ppats|kd|yd
 Aceh| Kota Banda Aceh|41|8|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|/RN+l+0M0vm55ofiPo1iUvdxMM1yy1RW+EdbE1Tmjm3qGj7n/QJFqbwe4o7zEkEY
 Aceh| Kota Sabang|3|3|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|h0WhhhQMt0V85m8JkqAgO9HEeEAcu8IhkJtzQhHJ5NCMzvtKSW9+5cyY2UXdnQrq
 Aceh| Kabupaten Aceh Besar|37|20|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|Ad64JSes8nbDgcfFcgHOg2lceK+n9izWoj2tjLIsEOw5GabGZBehtu6tetMmoIkO
 Aceh| Kabupaten Aceh Barat|14|6|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|FW5CpsCN/zeMTMq+9QchJMzGimQxqm3CrHKZzjY8fCCl4cuhEMd++UTDNwyvhM1T
 Aceh| Kabupaten Aceh Selatan|8|16|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|wLSYj4osLJP3PRvsmOv8yXTxSS1F5HyjH/5mbQhIKciT/GpzKv41PZeoLfd9M4IN
 Aceh| Kabupaten Pidie|12|1|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|KxF5djzZwwBixvQx3KkdzMEJmLkCCeAwnAjzM9h7ggO6gFGizUCKvsWhlfw5iLra
 Aceh| Kabupaten Aceh Utara|6|24|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|gbBUzwQL7gbCVTo8qUZDcObnB/xMD6WJEYIdztUhZ7uihDx1eDMo09IaRZ2ajC+p
 Aceh| Kabupaten Aceh Timur|13|23|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|e0E1pMjWYGriX7/zoMOL7q0mI9ydDaO34tXRMv5+L6nYip0slqfJVPFzyDQYZpBK
 Aceh| Kabupaten Aceh Tengah|10|15|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|Ixhfxg8iuSUv4cmrwn3dfQqU//24c0R+D50M+9VkmYalDUezUnRr8sX31DIgvvol
 Aceh| Kabupaten Aceh Tenggara|9|0|kLdXENTMr96bQ/O+z0Rc/eVztmtwxJsq87YMY17Ub8uOlRdmb0TQEtg42siqtvjW|JJy6zzdhERVHQw69ybawFKW3Sqs40djIdFQx0/5xpViaOsCBmNTadF5/7QB/p2hE
